9.1387 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
86.5615 	EXP 	grating: autoDraw = True
86.8618 	EXP 	grating: autoDraw = False
87.2660 	EXP 	New trial (rep=19, index=0): None
87.2677 	DATA 	Keypress: up
87.2786 	EXP 	fixation: autoDraw = False
87.2786 	EXP 	grating: autoDraw = False
87.2786 	EXP 	grating: ori = 4.0
87.2786 	EXP 	fixation: autoDraw = True
88.2782 	EXP 	fixation: autoDraw = False
88.2782 	EXP 	grating: autoDraw = True
88.5783 	EXP 	grating: autoDraw = False
89.9382 	EXP 	New trial (rep=20, index=0): None
89.9399 	DATA 	Keypress: down
89.9494 	EXP 	fixation: autoDraw = False
89.9494 	EXP 	grating: autoDraw = False
89.9494 	EXP 	grating: ori = 3.0
89.9494 	EXP 	fixation: autoDraw = True
90.9500 	EXP 	fixation: autoDraw = False
90.9500 	EXP 	grating: autoDraw = True
91.2656 	EXP 	grating: autoDraw = False
91.8229 	EXP 	New trial (rep=21, index=0): None
91.8268 	DATA 	Keypress: down
91.8450 	EXP 	fixation: autoDraw = False
91.8450 	EXP 	grating: autoDraw = False
91.8450 	EXP 	grating: ori = 0.0
91.8450 	EXP 	fixation: autoDraw = True
92.8279 	EXP 	grating: autoDraw = True
92.8447 	EXP 	fixation: autoDraw = False
93.1279 	EXP 	grating: autoDraw = False
93.5987 	EXP 	New trial (rep=22, index=0): None
93.6001 	DATA 	Keypress: up
93.6109 	EXP 	fixation: autoDraw = False
93.6109 	EXP 	grating: autoDraw = False
93.6109 	EXP 	grating: ori = 0.0
93.6109 	EXP 	fixation: autoDraw = True
94.6109 	EXP 	fixation: autoDraw = False
94.6109 	EXP 	grating: autoDraw = True
94.9112 	EXP 	grating: autoDraw = False
96.3962 	EXP 	New trial (rep=23, index=0): None
96.3988 	DATA 	Keypress: up
96.4106 	EXP 	fixation: autoDraw = False
96.4106 	EXP 	grating: autoDraw = False
96.4106 	EXP 	grating: ori = 0.0
96.4106 	EXP 	fixation: autoDraw = True
97.4107 	EXP 	fixation: autoDraw = False
97.4107 	EXP 	grating: autoDraw = True
97.7108 	EXP 	grating: autoDraw = False
98.2977 	EXP 	New trial (rep=24, index=0): None
98.2992 	DATA 	Keypress: up
98.3108 	EXP 	fixation: autoDraw = False
98.3108 	EXP 	grating: autoDraw = False
98.3108 	EXP 	grating: ori = 2.0
98.3108 	EXP 	fixation: autoDraw = True
99.3107 	EXP 	fixation: autoDraw = False
99.3107 	EXP 	grating: autoDraw = True
99.6108 	EXP 	grating: autoDraw = False
100.9509 	EXP 	New trial (rep=25, index=0): None
100.9541 	DATA 	Keypress: down
100.9606 	EXP 	fixation: autoDraw = False
100.9606 	EXP 	grating: autoDraw = False
100.9606 	EXP 	grating: ori = 0.0
100.9606 	EXP 	fixation: autoDraw = True
101.9613 	EXP 	fixation: autoDraw = False
101.9613 	EXP 	grating: autoDraw = True
102.2777 	EXP 	grating: autoDraw = False
102.7365 	EXP 	New trial (rep=26, index=0): None
102.7388 	DATA 	Keypress: up
102.7442 	EXP 	fixation: autoDraw = False
102.7442 	EXP 	grating: autoDraw = False
102.7442 	EXP 	grating: ori = 0.0
102.7442 	EXP 	fixation: autoDraw = True
103.7440 	EXP 	fixation: autoDraw = False
103.7440 	EXP 	grating: autoDraw = True
104.0439 	EXP 	grating: autoDraw = False
104.7998 	EXP 	New trial (rep=27, index=0): None
104.8026 	DATA 	Keypress: up
104.8123 	EXP 	fixation: autoDraw = False
104.8123 	EXP 	grating: autoDraw = False
104.8123 	EXP 	grating: ori = 0.0
104.8123 	EXP 	fixation: autoDraw = True
105.8101 	EXP 	grating: autoDraw = True
105.8300 	EXP 	fixation: autoDraw = False
106.1106 	EXP 	grating: autoDraw = False
106.5010 	EXP 	New trial (rep=28, index=0): None
106.5032 	DATA 	Keypress: up
106.5099 	EXP 	fixation: autoDraw = False
106.5099 	EXP 	grating: autoDraw = False
106.5099 	EXP 	grating: ori = -3.0
106.5099 	EXP 	fixation: autoDraw = True
107.5100 	EXP 	fixation: autoDraw = False
107.5100 	EXP 	grating: autoDraw = True
107.8100 	EXP 	grating: autoDraw = False
108.2657 	EXP 	New trial (rep=29, index=0): None
108.2674 	DATA 	Keypress: up
108.2767 	EXP 	fixation: autoDraw = False
108.2767 	EXP 	grating: autoDraw = False
108.2767 	EXP 	grating: ori = 0.0
108.2767 	EXP 	fixation: autoDraw = True
109.2765 	EXP 	fixation: autoDraw = False
109.2765 	EXP 	grating: autoDraw = True
109.5765 	EXP 	grating: autoDraw = False
109.9549 	EXP 	New trial (rep=30, index=0): None
